OECD,Year,Central Government Debt (Percent of GDP),"Inflation, consumer prices (annual %)","Current account balance (BoP, current US$)",Exports of goods and services (% of GDP),"Foreign direct investment, net inflows (BoP, current US$)","GovernmentExpenditure_Agriculture, forestry, fishing and hunting",GovernmentExpenditure_Communication,GovernmentExpenditure_Defence,GovernmentExpenditure_Education,GovernmentExpenditure_Environment protection,GovernmentExpenditure_Fuel and energy,"GovernmentExpenditure_General economic, commercial and labour affairs",GovernmentExpenditure_General public services,GovernmentExpenditure_Health,GovernmentExpenditure_Housing and community amenities,"GovernmentExpenditure_Mining, manufacturing and construction",GovernmentExpenditure_Other industries,GovernmentExpenditure_Public order and safety,GovernmentExpenditure_RandD Economic affairs,"GovernmentExpenditure_Recreation, culture and religion",GovernmentExpenditure_Social protection,GovernmentExpenditure_Total function,GovernmentExpenditure_Transport,Imports of goods and services (% of GDP),"Labor force participation rate for ages 15-24, total (%)",GDP (current US$),Net migration,Population growth (annual %),Population ages 15-64 (% of total population),Profit tax (% of commercial profits),Urban population (% of total population),Social Spending,Real interest rate (%),Tax revenue (% of GDP),"Labor force, total","Unemployment, total (% of total labor force)",Reelection Frequency (Years),LongInterestRate,DebtQuantile,Central Government Debt (Percent of GDP)_lag1,"Inflation, consumer prices (annual %)_lag1","Current account balance (BoP, current US$)_lag1",Exports of goods and services (% of GDP)_lag1,"Foreign direct investment, net inflows (BoP, current US$)_lag1","GovernmentExpenditure_Agriculture, forestry, fishing and hunting_lag1",GovernmentExpenditure_Communication_lag1,GovernmentExpenditure_Defence_lag1,GovernmentExpenditure_Education_lag1,GovernmentExpenditure_Environment protection_lag1,GovernmentExpenditure_Fuel and energy_lag1,"GovernmentExpenditure_General economic, commercial and labour affairs_lag1",GovernmentExpenditure_General public services_lag1,GovernmentExpenditure_Health_lag1,GovernmentExpenditure_Housing and community amenities_lag1,"GovernmentExpenditure_Mining, manufacturing and construction_lag1",GovernmentExpenditure_Other industries_lag1,GovernmentExpenditure_Public order and safety_lag1,GovernmentExpenditure_RandD Economic affairs_lag1,"GovernmentExpenditure_Recreation, culture and religion_lag1",GovernmentExpenditure_Social protection_lag1,GovernmentExpenditure_Total function_lag1,GovernmentExpenditure_Transport_lag1,Imports of goods and services (% of GDP)_lag1,"Labor force participation rate for ages 15-24, total (%)_lag1",GDP (current US$)_lag1,Net migration_lag1,Population growth (annual %)_lag1,Population ages 15-64 (% of total population)_lag1,Profit tax (% of commercial profits)_lag1,Urban population (% of total population)_lag1,Social Spending_lag1,Real interest rate (%)_lag1,Tax revenue (% of GDP)_lag1,"Labor force, total_lag1","Unemployment, total (% of total labor force)_lag1",Reelection Frequency (Years)_lag1,LongInterestRate_lag1,Overall Deficit (USD),Overall Deficit (USD)_lag1
Australia,2010,14.231129510102,2.918340027,-45891335676.0,19.79626197,35554698682.0,4981.0,629.0,25039.0,83591.0,11666.0,6677.0,4921.0,54201.0,88824.0,8983.0,2308.0,1016.0,24007.0,171.0,12552.0,124987.0,491923.0,33672.0,20.72532703,68.432,1148840000000.0,166752.0,1.555706262,67.40185959,26.0,85.182,16.553,6.055527167,20.47799546,11662961.0,5.214,3.0,5.366041666666667,1,14.231129510102,2.918340027,-45891335676.0,19.79626197,35554698682.0,4981.0,629.0,25039.0,83591.0,11666.0,6677.0,4921.0,54201.0,88824.0,8983.0,2308.0,1016.0,24007.0,171.0,12552.0,124987.0,491923.0,33672.0,20.72532703,68.432,1148840000000.0,166752.0,1.555706262,67.40185959,26.0,85.182,16.553,6.055527167,20.47799546,11662961.0,5.214,3.0,5.366041666666667,-235258911119.66397,-235258911119.66397
Australia,2011,16.983877176309,3.303850156,-45473314445.0,21.43724723,65578266556.0,5126.0,689.0,28771.0,90938.0,15653.0,8309.0,6221.0,70285.0,111137.0,8910.0,3517.0,1468.0,28392.0,244.0,14594.0,151534.0,592951.0,42964.0,20.41388479,68.142,1398610000000.0,197657.0,1.389527316,67.21865099,26.1,85.3,17.02,1.44585192,20.32252448,11844196.0,5.083,3.0,4.879583333333334,1,14.231129510102,2.918340027,-45891335676.0,19.79626197,35554698682.0,4981.0,629.0,25039.0,83591.0,11666.0,6677.0,4921.0,54201.0,88824.0,8983.0,2308.0,1016.0,24007.0,171.0,12552.0,124987.0,491923.0,33672.0,20.72532703,68.432,1148840000000.0,166752.0,1.555706262,67.40185959,26.0,85.182,16.553,6.055527167,20.47799546,11662961.0,5.214,3.0,5.366041666666667,-284232266678.72797,-235258911119.66397
Australia,2012,19.234094537506,1.762780156,-68558659880.0,21.4931587,57571285655.0,4567.0,649.5,29707.0,94057.0,16629.0,7995.0,7418.0,69709.0,113194.0,9089.0,4377.0,1493.0,28751.0,240.0,14501.0,157874.0,607322.0,45968.0,21.6711378,67.522,1547530000000.0,235776.0,1.745820001,66.96624251,26.1,85.402,17.308,5.077614645,21.09908592,12008516.0,5.225,3.0,3.3791666666666664,1,16.983877176309,3.303850156,-45473314445.0,21.43724723,65578266556.0,5126.0,689.0,28771.0,90938.0,15653.0,8309.0,6221.0,70285.0,111137.0,8910.0,3517.0,1468.0,28392.0,244.0,14594.0,151534.0,592951.0,42964.0,20.41388479,68.142,1398610000000.0,197657.0,1.389527316,67.21865099,26.1,85.3,17.02,1.44585192,20.32252448,11844196.0,5.083,3.0,4.879583333333334,-326514077015.776,-284232266678.72797
Australia,2013,21.244424780115,2.449888641,-51027127123.0,19.97656887,54472699004.0,4080.0,610.0,29397.0,89038.0,15878.0,7929.0,7616.0,70849.0,108872.0,8646.0,4474.0,1401.0,27510.0,209.0,13914.0,156209.0,593808.0,43246.0,21.29631015,66.822,1577120000000.0,215823.0,1.72115144,66.70029943,26.1,85.502,17.263,6.353161025,21.94434163,12179476.0,5.663,3.0,3.7230416666666666,1,19.234094537506,1.762780156,-68558659880.0,21.4931587,57571285655.0,4567.0,649.5,29707.0,94057.0,16629.0,7995.0,7418.0,69709.0,113194.0,9089.0,4377.0,1493.0,28751.0,240.0,14501.0,157874.0,607322.0,45968.0,21.6711378,67.522,1547530000000.0,235776.0,1.745820001,66.96624251,26.1,85.402,17.308,5.077614645,21.09908592,12008516.0,5.225,3.0,3.3791666666666664,-346088006907.05597,-326514077015.776
Australia,2014,24.592745963714,2.487922705,-44851604484.0,21.08760339,63204516348.0,3674.0,826.0,29845.0,84891.0,12066.0,7713.0,6709.0,68722.0,105003.0,8547.0,4124.0,1293.0,27310.0,237.0,13176.0,153435.0,571977.0,41110.0,21.39641963,66.562,1468270000000.0,200177.0,1.491566489,66.44912894,26.1,85.602,17.804,4.481619482,21.89787868,12319396.0,6.078,3.0,3.663833333333333,1,21.244424780115,2.449888641,-51027127123.0,19.97656887,54472699004.0,4080.0,610.0,29397.0,89038.0,15878.0,7929.0,7616.0,70849.0,108872.0,8646.0,4474.0,1401.0,27510.0,209.0,13914.0,156209.0,593808.0,43246.0,21.29631015,66.822,1577120000000.0,215823.0,1.72115144,66.70029943,26.1,85.502,17.263,6.353161025,21.94434163,12179476.0,5.663,3.0,3.7230416666666666,-321519411317.836,-346088006907.05597
Australia,2015,28.452028407718,1.508366722,-57146704129.0,20.06612629,46892808568.0,3291.0,128.0,27358.0,72930.0,10688.0,6071.0,5330.0,57358.0,93111.0,6922.0,3137.0,1127.0,23817.0,167.0,11789.0,131441.0,491934.0,34344.0,21.59780564,67.261,1351300000000.0,212350.0,1.439216653,66.19741597,26.0,85.701,18.207,6.237773348,21.87407068,12556049.0,6.055,3.0,2.7205,1,24.592745963714,2.487922705,-44851604484.0,21.08760339,63204516348.0,3674.0,826.0,29845.0,84891.0,12066.0,7713.0,6709.0,68722.0,105003.0,8547.0,4124.0,1293.0,27310.0,237.0,13176.0,153435.0,571977.0,41110.0,21.39641963,66.562,1468270000000.0,200177.0,1.491566489,66.44912894,26.1,85.602,17.804,4.481619482,21.89787868,12319396.0,6.078,3.0,3.663833333333333,-295583825164.83997,-321519411317.836
Australia,2016,31.624370413327,1.276990945,-41521105179.0,19.27874425,42970225978.0,3267.0,346.5,29102.0,75032.0,11416.0,6382.0,5043.0,57547.0,100048.0,7087.0,3094.0,1212.0,24871.0,150.0,11888.0,131543.0,507644.0,38669.0,21.69533522,66.791,1206840000000.0,254648.0,1.561940498,65.96156147,26.0,85.8,17.476,6.124606749,22.27552213,12730637.0,5.711,3.0,2.3408333333333333,1,28.452028407718,1.508366722,-57146704129.0,20.06612629,46892808568.0,3291.0,128.0,27358.0,72930.0,10688.0,6071.0,5330.0,57358.0,93111.0,6922.0,3137.0,1127.0,23817.0,167.0,11789.0,131441.0,491934.0,34344.0,21.59780564,67.261,1351300000000.0,212350.0,1.439216653,66.19741597,26.0,85.701,18.207,6.237773348,21.87407068,12556049.0,6.055,3.0,2.7205,-268829403629.692,-295583825164.83997
Australia,2017,32.377926684974,1.948647409,-36094440899.0,21.25661748,48199372040.0,3391.0,565.0,31911.0,82538.0,12933.0,7004.0,5729.0,58558.0,106476.0,7909.0,2887.0,1367.0,27987.0,343.0,13872.0,138566.0,549332.0,44489.0,20.94711419,66.891,1325580000000.0,255023.0,1.646827797,65.77111794,26.0,85.904,17.077,1.536195526,22.11036864,13009297.0,5.592,3.0,2.64125,1,31.624370413327,1.276990945,-41521105179.0,19.27874425,42970225978.0,3267.0,346.5,29102.0,75032.0,11416.0,6382.0,5043.0,57547.0,100048.0,7087.0,3094.0,1212.0,24871.0,150.0,11888.0,131543.0,507644.0,38669.0,21.69533522,66.791,1206840000000.0,254648.0,1.561940498,65.96156147,26.0,85.8,17.476,6.124606749,22.27552213,12730637.0,5.711,3.0,2.3408333333333333,-293090075286.112,-268829403629.692
Australia,2018,32.915405932941,1.911400944,-31888709227.0,21.89409054,60686639530.0,3538.0,318.0,33567.0,86086.0,13174.0,7138.0,5897.0,59283.0,108474.0,8897.0,2685.0,1421.0,29283.0,553.0,13733.0,142450.0,565557.0,46034.0,21.84197454,67.851,1427810000000.0,226412.0,1.49599671,65.59720814,26.0,86.012,16.638,3.329588051,23.20844496,13311592.0,5.3,3.0,2.681666666666666,1,32.377926684974,1.948647409,-36094440899.0,21.25661748,48199372040.0,3391.0,565.0,31911.0,82538.0,12933.0,7004.0,5729.0,58558.0,106476.0,7909.0,2887.0,1367.0,27987.0,343.0,13872.0,138566.0,549332.0,44489.0,20.94711419,66.891,1325580000000.0,255023.0,1.646827797,65.77111794,26.0,85.904,17.077,1.536195526,22.11036864,13009297.0,5.592,3.0,2.64125,-331371932426.37604,-293090075286.112
Australia,2019,36.581445830794,1.610767873,4876229870.0,24.159678,38745129661.0,3408.0,497.0,34566.0,87528.0,13305.0,7118.0,41302.0,55505.0,108333.0,8577.0,2767.0,1244.0,29125.0,423.0,13431.0,151800.0,606216.0,44263.0,22.0278239,68.121,1392720000000.0,207142.0,1.477490711,65.39377242,26.1,86.124,20.451,1.578066835,23.40844001,13590351.0,5.159,3.0,1.497083333333333,2,32.915405932941,1.911400944,-31888709227.0,21.89409054,60686639530.0,3538.0,318.0,33567.0,86086.0,13174.0,7138.0,5897.0,59283.0,108474.0,8897.0,2685.0,1421.0,29283.0,553.0,13733.0,142450.0,565557.0,46034.0,21.84197454,67.851,1427810000000.0,226412.0,1.49599671,65.59720814,26.0,86.012,16.638,3.329588051,23.20844496,13311592.0,5.3,3.0,2.681666666666666,-326013419491.27203,-331371932426.37604
